first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,hand,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Joe,Ryan,P,,2023-05-19,,MIN,LAA,,YES,R,-1.5,8,4.2,10300,12.7,22.8,34.5,17.6,1.71
Sandy,Alcantara,P,,2023-05-19,,MIA,SF,,YES,R,+1.5,7.5,3.6,9800,9.9,18.2,26.8,17.2,1.76
Blake,Snell,P,,2023-05-19,,SD,BOS,,YES,L,-1.5,8,4.3,8500,11.9,15.6,20.7,17.1,2.01
Anthony,DeSclafani,P,,2023-05-19,,SF,MIA,,YES,R,-1.5,7.5,3.9,8700,5.2,13.2,26.2,15.9,1.83
Bryce,Elder,P,,2023-05-19,,ATL,SEA,,YES,R,-1.5,9,4.9,9200,5.3,15.9,30.0,15.0,1.63
Michael,Kopech,P,,2023-05-19,,CWS,KC,,YES,R,-1.5,9.5,4.9,7400,6.5,12.2,21.9,14.8,2.00
Yusei,Kikuchi,P,,2023-05-19,,TOR,BAL,,YES,L,-1.5,9.5,5.2,8100,-2.2,14.8,28.7,14.5,1.79
Tony,Gonsolin,P,,2023-05-19,,LAD,STL,,YES,R,-1.5,9,4.7,8900,-0.5,12.0,25.5,14.5,1.63
Reid,Detmers,P,,2023-05-19,,LAA,MIN,,YES,L,+1.5,8,3.9,7900,8.5,12.7,19.5,14.4,1.82
Ranger,Suarez,P,,2023-05-19,,PHI,CHC,,YES,L,-1.5,9,4.7,6300,0.5,9.5,20.9,14.3,2.27
Marcus,Stroman,P,,2023-05-19,,CHC,PHI,,YES,R,+1.5,9,4.3,8800,-6.5,9.4,18.5,13.7,1.56
Jake,Irvin,P,,2023-05-19,,WAS,DET,,YES,R,+1.5,9,4.5,6700,5.3,12.8,23.5,13.6,2.03
Bryce,Miller,P,,2023-05-19,,SEA,ATL,,YES,R,+1.5,9,4.1,9400,24.0,26.7,30.3,13.6,1.45
Cal,Quantrill,P,,2023-05-19,,CLE,NYM,,YES,R,+1.5,9,4.1,6900,-5.0,12.1,25.4,13.6,1.97
Martin,Perez,P,,2023-05-19,,TEX,COL,,YES,L,-1.5,9,5.3,7700,-9.4,7.9,19.5,13.3,1.73
Steven,Matz,P,,2023-05-19,,STL,LAD,,YES,L,+1.5,9,4.3,6400,5.6,8.9,13.9,12.5,1.95
Brandon,Bielak,P,,2023-05-19,,HOU,OAK,,YES,R,-1.5,9,5.5,6200,-1.8,7.1,14.0,11.9,1.92
Carlos,Carrasco,P,,2023-05-19,,NYM,CLE,,YES,R,-1.5,9,4.9,8200,-6.0,2.5,10.3,11.9,1.45
Matthew,Boyd,P,,2023-05-19,,DET,WAS,,YES,L,-1.5,9,4.6,7100,-10.9,8.5,23.7,11.7,1.65
James,Paxton,P,,2023-05-19,,BOS,SD,,YES,L,+1.5,8,3.7,8300,3.9,13.1,22.3,11.6,1.40
Mookie,Betts,2B,,2023-05-19,,LAD,STL,1,,R,-1.5,9,4.7,5600,4.0,10.6,18.0,11.0,1.96
Yordan,Alvarez,OF,,2023-05-19,,HOU,OAK,3,,L,-1.5,9,5.5,6000,0.0,8.0,14.0,11.0,1.83
Fernando,Tatis Jr.,OF,,2023-05-19,,SD,BOS,1,,R,-1.5,8,4.3,6100,0.0,6.8,19.0,11.0,1.80
Zack,Greinke,P,,2023-05-19,,KC,CWS,,YES,R,+1.5,9.5,4.6,5600,-6.8,7.3,19.5,10.9,1.95
Ronald,Acuna Jr.,OF,,2023-05-19,,ATL,SEA,1,,R,-1.5,9,4.9,6400,15.0,18.8,23.0,10.8,1.69
Freddie,Freeman,1B,,2023-05-19,,LAD,STL,2,,L,-1.5,9,4.7,5000,5.0,13.4,28.0,10.6,2.12
Marcus,Semien,2B,,2023-05-19,,TEX,COL,1,,R,-1.5,9,5.3,5300,7.0,11.2,17.0,10.4,1.96
Byron,Buxton,OF,,2023-05-19,,MIN,LAA,1,,R,-1.5,8,4.2,5200,2.0,12.8,24.0,10.2,1.96
Kyle,Gibson,P,,2023-05-19,,BAL,TOR,,YES,R,+1.5,9.5,4.4,7300,-4.1,10.8,34.7,10.2,1.40
Ken,Waldichuk,P,,2023-05-19,,OAK,HOU,,YES,L,+1.5,9,3.5,6000,1.3,10.7,16.5,10.2,1.70
Corey,Seager,SS,,2023-05-19,,TEX,COL,2,,L,-1.5,9,5.3,4800,2.0,12.2,26.0,10.1,2.10
Bryce,Harper,OF,,2023-05-19,,PHI,CHC,3,,L,-1.5,9,4.7,6200,0.0,9.0,25.0,10.1,1.63
Mike,Trout,OF,,2023-05-19,,LAA,MIN,2,,R,+1.5,8,3.9,5800,0.0,9.4,21.0,10.0,1.72
Esteury,Ruiz,OF,,2023-05-19,,OAK,HOU,1,,R,+1.5,9,3.5,3600,0.0,9.2,19.0,9.9,2.75
Kyle,Tucker,OF,,2023-05-19,,HOU,OAK,5,,L,-1.5,9,5.5,5400,0.0,7.4,15.0,9.7,1.80
Bo,Bichette,SS,,2023-05-19,,TOR,BAL,2,,R,-1.5,9.5,5.2,5400,3.0,9.2,20.0,9.7,1.80
Salvador,Perez,C,,2023-05-19,,KC,CWS,3,,R,+1.5,9.5,4.6,4700,0.0,9.0,19.0,9.6,2.04
Alex,Bregman,3B,,2023-05-19,,HOU,OAK,2,,R,-1.5,9,5.5,4400,3.0,13.0,30.0,9.6,2.18
Jeremy,Pena,SS,,2023-05-19,,HOU,OAK,6,,R,-1.5,9,5.5,4900,0.0,7.2,17.0,9.5,1.94
Shohei,Ohtani,1B,,2023-05-19,,LAA,MIN,3,,L,+1.5,8,3.9,6300,0.0,13.4,38.0,9.5,1.51
Lane,Thomas,OF,,2023-05-19,,WAS,DET,1,,R,+1.5,9,4.5,3900,3.0,10.0,21.0,9.4,2.41
Will,Smith,C,,2023-05-19,,LAD,STL,3,,R,-1.5,9,4.7,5300,4.0,9.0,23.0,9.4,1.77
Adolis,Garcia,OF,,2023-05-19,,TEX,COL,4,,R,-1.5,9,5.3,5100,0.0,16.0,32.0,9.2,1.80
