Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Framber Valdez (17122111),Framber Valdez,17122111,P,11400,HOU@SEA 04/17/2021 09:10PM ET,HOU,0
SP,Walker Buehler (17122112),Walker Buehler,17122112,P,11200,LAD@SD 04/17/2021 08:40PM ET,LAD,16.57
SP,Trevor Bauer (17122113),Trevor Bauer,17122113,P,11200,LAD@SD 04/17/2021 08:40PM ET,LAD,30.2
SP,Tony Gonsolin (17122114),Tony Gonsolin,17122114,P,10800,LAD@SD 04/17/2021 08:40PM ET,LAD,0
SP,Cristian Javier (17122115),Cristian Javier,17122115,P,10800,HOU@SEA 04/17/2021 09:10PM ET,HOU,18.05
RP,Corbin Burnes (17122116),Corbin Burnes,17122116,P,10600,PIT@MIL 04/17/2021 07:10PM ET,MIL,33.22
SP,Julio Urias (17122117),Julio Urias,17122117,P,10600,LAD@SD 04/17/2021 08:40PM ET,LAD,16.93
SP,Dustin May (17122119),Dustin May,17122119,P,10400,LAD@SD 04/17/2021 08:40PM ET,LAD,22.02
SP,Dinelson Lamet (17122120),Dinelson Lamet,17122120,P,10400,LAD@SD 04/17/2021 08:40PM ET,SD,0
SP,Jose Urquidy (17122118),Jose Urquidy,17122118,P,10400,HOU@SEA 04/17/2021 09:10PM ET,HOU,15.33
SP,Justin Verlander (17122121),Justin Verlander,17122121,P,10200,HOU@SEA 04/17/2021 09:10PM ET,HOU,0
SP,Clayton Kershaw (17121760),Clayton Kershaw,17121760,P,10000,LAD@SD 04/17/2021 08:40PM ET,LAD,19.33
SP,Lance McCullers Jr. (17122122),Lance McCullers Jr.,17122122,P,9900,HOU@SEA 04/17/2021 09:10PM ET,HOU,12.92
SP,David Price (17122123),David Price,17122123,P,9700,LAD@SD 04/17/2021 08:40PM ET,LAD,4.57
SP,Yu Darvish (17121761),Yu Darvish,17121761,P,9400,LAD@SD 04/17/2021 08:40PM ET,SD,19.85
SP,Joe Musgrove (17122124),Joe Musgrove,17122124,P,9200,LAD@SD 04/17/2021 08:40PM ET,SD,25.19
SP,Jimmy Nelson (17122125),Jimmy Nelson,17122125,P,9200,LAD@SD 04/17/2021 08:40PM ET,LAD,2.87
SP,Chris Paddack (17122126),Chris Paddack,17122126,P,9200,LAD@SD 04/17/2021 08:40PM ET,SD,9.95
SP,Josh James (17122127),Josh James,17122127,P,9100,HOU@SEA 04/17/2021 09:10PM ET,HOU,0
SP,Freddy Peralta (17122129),Freddy Peralta,17122129,P,8900,PIT@MIL 04/17/2021 07:10PM ET,MIL,24.95
SP,Blake Snell (17122128),Blake Snell,17122128,P,8900,LAD@SD 04/17/2021 08:40PM ET,SD,12.15
SP,Zack Greinke (17121762),Zack Greinke,17121762,P,8700,HOU@SEA 04/17/2021 09:10PM ET,HOU,11.52
SP,Jose Berrios (17122130),Jose Berrios,17122130,P,8600,MIN@LAA 04/17/2021 09:07PM ET,MIN,24.13
SP,Brandon Woodruff (17122132),Brandon Woodruff,17122132,P,8300,PIT@MIL 04/17/2021 07:10PM ET,MIL,19.95
RP,Luis Garcia (17122131),Luis Garcia,17122131,P,8300,HOU@SEA 04/17/2021 09:10PM ET,HOU,11.62
SP,Zack Brown (17122133),Zack Brown,17122133,P,8200,PIT@MIL 04/17/2021 07:10PM ET,MIL,0
RP,Josh Lindblom (17122134),Josh Lindblom,17122134,P,8200,PIT@MIL 04/17/2021 07:10PM ET,MIL,1.19
SP,Griffin Canning (17122135),Griffin Canning,17122135,P,8200,MIN@LAA 04/17/2021 09:07PM ET,LAA,14.02
SP,Matt Shoemaker (17121763),Matt Shoemaker,17121763,P,8100,MIN@LAA 04/17/2021 09:07PM ET,MIN,17.78
RP,Ryan Pressly (17122136),Ryan Pressly,17122136,P,8100,HOU@SEA 04/17/2021 09:10PM ET,HOU,4.21
RP,Adrian Houser (17122137),Adrian Houser,17122137,P,8000,PIT@MIL 04/17/2021 07:10PM ET,MIL,11.02
RP,JT Brubaker (17122138),JT Brubaker,17122138,P,7900,PIT@MIL 04/17/2021 07:10PM ET,PIT,19.97
SP,Chris Stratton (17122139),Chris Stratton,17122139,P,7900,PIT@MIL 04/17/2021 07:10PM ET,PIT,2.73
RP,Ray Black (17122140),Ray Black,17122140,P,7900,PIT@MIL 04/17/2021 07:10PM ET,MIL,0
SP,Eric Lauer (17122141),Eric Lauer,17122141,P,7900,PIT@MIL 04/17/2021 07:10PM ET,MIL,0
SP,Brent Suter (17122142),Brent Suter,17122142,P,7900,PIT@MIL 04/17/2021 07:10PM ET,MIL,3.3
RP,Mike Kickham (17122143),Mike Kickham,17122143,P,7900,LAD@SD 04/17/2021 08:40PM ET,LAD,0
SP,Dylan Bundy (17122144),Dylan Bundy,17122144,P,7800,MIN@LAA 04/17/2021 09:07PM ET,LAA,20.25
SP,Mitch Keller (17122145),Mitch Keller,17122145,P,7700,PIT@MIL 04/17/2021 07:10PM ET,PIT,5.7
SP,Adrian Morejon (17122147),Adrian Morejon,17122147,P,7700,LAD@SD 04/17/2021 08:40PM ET,SD,4.15
RP,Brandon Bielak (17122146),Brandon Bielak,17122146,P,7700,HOU@SEA 04/17/2021 09:10PM ET,HOU,9.47
RP,Josh Hader (17122149),Josh Hader,17122149,P,7600,PIT@MIL 04/17/2021 07:10PM ET,MIL,8.47
RP,John Means (17122148),John Means,17122148,P,7600,BAL@TEX 04/17/2021 07:05PM ET,BAL,20.12
RP,Steven Brault (17122153),Steven Brault,17122153,P,7500,PIT@MIL 04/17/2021 07:10PM ET,PIT,0
SP,Mike Clevinger (17122150),Mike Clevinger,17122150,P,7500,LAD@SD 04/17/2021 08:40PM ET,SD,0
SP,Michael Pineda (17122152),Michael Pineda,17122152,P,7500,MIN@LAA 04/17/2021 09:07PM ET,MIN,22.23
SP,Yusei Kikuchi (17122151),Yusei Kikuchi,17122151,P,7500,HOU@SEA 04/17/2021 09:10PM ET,SEA,15.45
SP,Jake Odorizzi (17122154),Jake Odorizzi,17122154,P,7500,HOU@SEA 04/17/2021 09:10PM ET,HOU,1.3
SP,Dane Dunning (17121764),Dane Dunning,17121764,P,7500,BAL@TEX 04/17/2021 07:05PM ET,TEX,20.02
SP,Tyler Anderson (17122155),Tyler Anderson,17122155,P,7400,PIT@MIL 04/17/2021 07:10PM ET,PIT,13.15
SP,Drew Pomeranz (17122157),Drew Pomeranz,17122157,P,7400,LAD@SD 04/17/2021 08:40PM ET,SD,4.82
SP,Kenta Maeda (17122156),Kenta Maeda,17122156,P,7400,MIN@LAA 04/17/2021 09:07PM ET,MIN,15.13
SP,Chad Kuhl (17122160),Chad Kuhl,17122160,P,7300,PIT@MIL 04/17/2021 07:10PM ET,PIT,3.2
SP,Jose Suarez (17122158),Jose Suarez,17122158,P,7300,MIN@LAA 04/17/2021 09:07PM ET,LAA,0
SP,Alex Cobb (17122159),Alex Cobb,17122159,P,7300,MIN@LAA 04/17/2021 09:07PM ET,LAA,21.62
SP,Brett Anderson (17121765),Brett Anderson,17121765,P,7200,PIT@MIL 04/17/2021 07:10PM ET,MIL,9.65
SP,Brett Conine (17122161),Brett Conine,17122161,P,7200,HOU@SEA 04/17/2021 09:10PM ET,HOU,0
SP,Jairo Solis (17122162),Jairo Solis,17122162,P,7200,HOU@SEA 04/17/2021 09:10PM ET,HOU,0
SP,Shawn Dubin (17122163),Shawn Dubin,17122163,P,7200,HOU@SEA 04/17/2021 09:10PM ET,HOU,0
SP,Austin Hansen (17122164),Austin Hansen,17122164,P,7200,HOU@SEA 04/17/2021 09:10PM ET,HOU,0
SP,Blake Taylor (17122165),Blake Taylor,17122165,P,7200,HOU@SEA 04/17/2021 09:10PM ET,HOU,0.86
SP,Jaime Barria (17122166),Jaime Barria,17122166,P,7100,MIN@LAA 04/17/2021 09:07PM ET,LAA,-15.5
SP,Brock Burke (17122167),Brock Burke,17122167,P,7100,BAL@TEX 04/17/2021 07:05PM ET,TEX,0
SP,Andrew Heaney (17122170),Andrew Heaney,17122170,P,7000,MIN@LAA 04/17/2021 09:07PM ET,LAA,15.35
SP,James Paxton (17122168),James Paxton,17122168,P,7000,HOU@SEA 04/17/2021 09:10PM ET,SEA,4.4
RP,Justin Dunn (17122169),Justin Dunn,17122169,P,7000,HOU@SEA 04/17/2021 09:10PM ET,SEA,13.68
SP,Trevor Cahill (17121766),Trevor Cahill,17121766,P,6900,PIT@MIL 04/17/2021 07:10PM ET,PIT,9.92
SP,Dillon Peters (17122171),Dillon Peters,17122171,P,6900,MIN@LAA 04/17/2021 09:07PM ET,LAA,0
SP,Mike Foltynewicz (17122172),Mike Foltynewicz,17122172,P,6900,BAL@TEX 04/17/2021 07:05PM ET,TEX,12
RP,Ryan Weathers (17122173),Ryan Weathers,17122173,P,6800,LAD@SD 04/17/2021 08:40PM ET,SD,9.89
SP,Justus Sheffield (17122174),Justus Sheffield,17122174,P,6800,HOU@SEA 04/17/2021 09:10PM ET,SEA,6.65
SP,Clay Holmes (17122178),Clay Holmes,17122178,P,6700,PIT@MIL 04/17/2021 07:10PM ET,PIT,1.39
SP,Max Kranick (17122179),Max Kranick,17122179,P,6700,PIT@MIL 04/17/2021 07:10PM ET,PIT,0
SP,Jose Soriano (17122180),Jose Soriano,17122180,P,6700,PIT@MIL 04/17/2021 07:10PM ET,PIT,0
SP,James Marvel (17122181),James Marvel,17122181,P,6700,PIT@MIL 04/17/2021 07:10PM ET,PIT,0
SP,Duane Underwood Jr. (17122182),Duane Underwood Jr.,17122182,P,6700,PIT@MIL 04/17/2021 07:10PM ET,PIT,5.63
SP,Wil Crowe (17122183),Wil Crowe,17122183,P,6700,PIT@MIL 04/17/2021 07:10PM ET,PIT,1.7
SP,Quinn Priester (17122184),Quinn Priester,17122184,P,6700,PIT@MIL 04/17/2021 07:10PM ET,PIT,0
SP,Roansy Contreras (17122185),Roansy Contreras,17122185,P,6700,PIT@MIL 04/17/2021 07:10PM ET,PIT,0
SP,Jose Quintana (17121767),Jose Quintana,17121767,P,6700,MIN@LAA 04/17/2021 09:07PM ET,LAA,0.52
SP,Patrick Sandoval (17122186),Patrick Sandoval,17122186,P,6700,MIN@LAA 04/17/2021 09:07PM ET,LAA,0
RP,Jordan Lyles (17122175),Jordan Lyles,17122175,P,6700,BAL@TEX 04/17/2021 07:05PM ET,TEX,12.17
SP,Dillon Tate (17122176),Dillon Tate,17122176,P,6700,BAL@TEX 04/17/2021 07:05PM ET,BAL,1.33
SP,Travis Lakins Sr. (17122177),Travis Lakins Sr.,17122177,P,6700,BAL@TEX 04/17/2021 07:05PM ET,BAL,2.25
SP,Drew Rasmussen (17122187),Drew Rasmussen,17122187,P,6600,PIT@MIL 04/17/2021 07:10PM ET,MIL,0.35
SP,Aaron Ashby (17122188),Aaron Ashby,17122188,P,6600,PIT@MIL 04/17/2021 07:10PM ET,MIL,0
SP,Angel Perdomo (17122189),Angel Perdomo,17122189,P,6600,PIT@MIL 04/17/2021 07:10PM ET,MIL,6.25
SP,Ethan Small (17122190),Ethan Small,17122190,P,6600,PIT@MIL 04/17/2021 07:10PM ET,MIL,0
SP,Cody Ponce (17122191),Cody Ponce,17122191,P,6600,PIT@MIL 04/17/2021 07:10PM ET,PIT,0
SP,J.A. Happ (17122192),J.A. Happ,17122192,P,6600,MIN@LAA 04/17/2021 09:07PM ET,MIN,10.45
SP,Jordan Zimmermann (17122193),Jordan Zimmermann,17122193,P,6500,PIT@MIL 04/17/2021 07:10PM ET,MIL,0
SP,Adam Plutko (17122194),Adam Plutko,17122194,P,6500,BAL@TEX 04/17/2021 07:05PM ET,BAL,5.64
SP,Keegan Akin (17122195),Keegan Akin,17122195,P,6400,BAL@TEX 04/17/2021 07:05PM ET,BAL,0
SP,Kohei Arihara (17122196),Kohei Arihara,17122196,P,6400,BAL@TEX 04/17/2021 07:05PM ET,TEX,10.47
SP,Thomas Eshelman (17122197),Thomas Eshelman,17122197,P,6400,BAL@TEX 04/17/2021 07:05PM ET,BAL,0
SP,Chris Flexen (17121768),Chris Flexen,17121768,P,6300,HOU@SEA 04/17/2021 09:10PM ET,SEA,14.45
SP,Kendall Graveman (17122198),Kendall Graveman,17122198,P,6300,HOU@SEA 04/17/2021 09:10PM ET,SEA,6.21
