Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob deGrom (18857336),Jacob deGrom,18857336,P,11200,NYM@LAD 08/22/2021 04:10PM ET,NYM,31.92
SP,Clayton Kershaw (18857337),Clayton Kershaw,18857337,P,10800,NYM@LAD 08/22/2021 04:10PM ET,LAD,19.25
SP,Trevor Bauer (18857338),Trevor Bauer,18857338,P,10700,NYM@LAD 08/22/2021 04:10PM ET,LAD,24.83
SP,Max Scherzer (18857339),Max Scherzer,18857339,P,10600,NYM@LAD 08/22/2021 04:10PM ET,LAD,23.69
SP,Zack Wheeler (18857340),Zack Wheeler,18857340,P,10500,PHI@SD 08/22/2021 03:40PM ET,PHI,23.55
SP,Walker Buehler (18857341),Walker Buehler,18857341,P,10400,NYM@LAD 08/22/2021 04:10PM ET,LAD,23.51
SP,Dustin May (18857342),Dustin May,18857342,P,10200,NYM@LAD 08/22/2021 04:10PM ET,LAD,19.59
SP,Julio Urias (18857343),Julio Urias,18857343,P,9900,NYM@LAD 08/22/2021 04:10PM ET,LAD,19.58
SP,Aaron Nola (18857344),Aaron Nola,18857344,P,9600,PHI@SD 08/22/2021 03:40PM ET,PHI,17.85
SP,Yu Darvish (18857345),Yu Darvish,18857345,P,9500,PHI@SD 08/22/2021 03:40PM ET,SD,19.38
SP,Danny Duffy (18857346),Danny Duffy,18857346,P,9400,NYM@LAD 08/22/2021 04:10PM ET,LAD,15.76
SP,Tony Gonsolin (18857347),Tony Gonsolin,18857347,P,9400,NYM@LAD 08/22/2021 04:10PM ET,LAD,10.82
SP,Zach Eflin (18857348),Zach Eflin,18857348,P,9100,PHI@SD 08/22/2021 03:40PM ET,PHI,15.15
SP,Frankie Montas (18857114),Frankie Montas,18857114,P,9000,SF@OAK 08/22/2021 04:07PM ET,OAK,17.38
SP,Kevin Gausman (18857349),Kevin Gausman,18857349,P,9000,SF@OAK 08/22/2021 04:07PM ET,SF,22.16
