first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Freddy,Peralta,P,,2021-04-24,Early,MIL,CHC,,YES,+1.5,7.5,3.7,9600,1.7,18.8,33.1,19.4,2.02
Nathan,Eovaldi,P,,2021-04-24,Early,BOS,SEA,,YES,-1.5,9,5.2,8900,0.0,19.1,28.7,17.6,1.98
Marcus,Stroman,P,,2021-04-24,Early,NYM,WAS,,,-1.5,7.5,4.3,8500,18.5,23.1,27.6,17.3,2.04
Michael,Pineda,P,,2021-04-24,Early,MIN,PIT,,YES,-1.5,8,4.7,8100,8.8,17.7,26.0,16.4,2.02
John,Gant,P,,2021-04-24,Early,STL,CIN,,YES,-1.5,8.5,4.3,6300,0.0,2.6,12.8,15.0,2.38
Matthew,Boyd,P,,2021-04-24,Early,DET,KC,,YES,+1.5,7.5,3.7,7900,13.3,17.8,21.6,14.9,1.89
Brady,Singer,P,,2021-04-24,Early,KC,DET,,YES,-1.5,7.5,3.9,6500,2.2,14.3,26.0,14.7,2.26
Adbert,Alzolay,P,,2021-04-24,Early,CHC,MIL,,YES,-1.5,7.5,3.8,7500,2.2,14.1,26.9,14.2,1.89
Jake,Odorizzi,P,,2021-04-24,Early,HOU,LAA,,YES,-1.5,9,4.8,7400,-5.5,6.3,15.2,13.6,1.84
Griffin,Canning,P,,2021-04-24,Early,LAA,HOU,,YES,+1.5,9,4.2,7000,7.5,17.8,31.3,12.6,1.80
Trevor,Cahill,P,,2021-04-24,Early,PIT,MIN,,YES,+1.5,8,3.3,7200,-2.4,5.1,22.3,11.8,1.64
Joe,Ross,P,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,7700,-4.4,14.0,29.5,11.8,1.53
Wade,Miley,P,,2021-04-24,Early,CIN,STL,,YES,+1.5,8.5,4.2,8300,1.7,13.0,30.7,11.7,1.41
