first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Gerrit,Cole,P,,2021-05-28,,NYY,DET,,YES,-1.5,7,4.3,11200,9.9,27.8,43.6,27.3,2.44
Walker,Buehler,P,,2021-05-28,,LAD,SF,,YES,-1.5,7.5,4.4,10400,16.5,20.9,23.6,22.2,2.13
Shohei,Ohtani,P,,2021-05-28,,LAA,OAK,,YES,+1.5,7.5,3.4,7800,2.0,9.4,21.0,21.7,2.78
Hyun Jin,Ryu,P,,2021-05-28,,TOR,CLE,,YES,-1.5,7.5,4.2,8400,14.8,21.2,31.4,17.8,2.12
Dinelson,Lamet,P,,2021-05-28,,SD,HOU,,YES,+1.5,7,3.5,7000,0.0,6.9,17.6,16.4,2.34
Justus,Sheffield,P,,2021-05-28,,SEA,TEX,,YES,-1.5,8.5,4.4,7900,3.1,9.6,22.5,15.9,2.01
Sean,Manaea,P,,2021-05-28,,OAK,LAA,,YES,-1.5,7.5,4.1,8500,-12.1,10.9,32.2,15.9,1.87
Framber,Valdez,P,,2021-05-28,,HOU,SD,,YES,-1.5,7,3.6,8200,0.0,0.0,0.0,14.9,1.82
Jordan,Lyles,P,,2021-05-28,,TEX,SEA,,YES,+1.5,8.5,4.1,5300,0.0,3.0,15.1,12.6,2.38
Martin,Perez,P,,2021-05-28,,BOS,MIA,,YES,-1.5,8.5,4.7,8700,14.3,19.0,23.3,12.6,1.45
Madison,Bumgarner,P,,2021-05-28,,ARI,STL,,YES,-1.5,9.5,5,8900,0.0,15.6,33.4,12.6,1.42
Kris,Bubic,P,,2021-05-28,,KC,MIN,,YES,+1.5,8.5,3.6,6500,3.7,12.7,19.7,12.4,1.91
Cody,Poteet,P,,2021-05-28,,MIA,BOS,,YES,+1.5,8.5,3.8,7100,0.0,17.0,33.0,12.0,1.69
Randy,Dobnak,P,,2021-05-28,,MIN,KC,,YES,-1.5,8.5,4.9,5800,0.0,0.0,0.0,11.9,2.05
Anthony,DeSclafani,P,,2021-05-28,,SF,LAD,,YES,+1.5,7.5,3.1,6900,-16.3,10.4,27.0,11.6,1.68
Casey,Mize,P,,2021-05-28,,DET,NYY,,YES,+1.5,7,2.7,6700,13.3,17.0,21.3,10.9,1.63
Fernando,Tatis Jr.,SS,,2021-05-28,,SD,HOU,4,,+1.5,7,3.5,5800,2.0,13.6,29.0,10.5,1.81
Mookie,Betts,OF,,2021-05-28,,LAD,SF,1,,-1.5,7.5,4.4,5500,0.0,7.6,15.0,10.0,1.82
Aaron,Judge,OF,,2021-05-28,,NYY,DET,3,,-1.5,7,4.3,6000,0.0,6.8,11.0,9.9,1.65
Nelson,Cruz,OF,,2021-05-28,,MIN,KC,3,,-1.5,8.5,4.9,5400,0.0,4.6,10.0,9.8,1.81
Rafael,Devers,3B,,2021-05-28,,BOS,MIA,5,,-1.5,8.5,4.7,4600,4.0,13.0,23.0,9.8,2.13
Nolan,Arenado,3B,,2021-05-28,,STL,ARI,4,,+1.5,9.5,4.5,5400,0.0,9.2,13.0,9.8,1.81
Vladimir,Guerrero Jr.,1B,,2021-05-28,,TOR,CLE,3,,-1.5,7.5,4.2,6200,2.0,8.2,16.0,9.7,1.56
Bo,Bichette,SS,,2021-05-28,,TOR,CLE,2,,-1.5,7.5,4.2,5700,0.0,4.6,8.0,9.7,1.70
Giancarlo,Stanton,OF,,2021-05-28,,NYY,DET,2,,-1.5,7,4.3,5000,0.0,4.8,10.0,9.7,1.94
Johan,Oviedo,P,,2021-05-28,,STL,ARI,,YES,+1.5,9.5,4.5,7300,-5.7,6.3,17.1,9.7,1.33
J.D.,Martinez,OF,,2021-05-28,,BOS,MIA,3,,-1.5,8.5,4.7,5800,0.0,7.0,14.0,9.7,1.67
Eli,Morgan,P,,2021-05-28,,CLE,TOR,,YES,+1.5,7.5,3.4,4600,,,,9.5,2.07
Paul,Goldschmidt,1B,,2021-05-28,,STL,ARI,3,,+1.5,9.5,4.5,3900,3.0,8.0,16.0,9.5,2.44
Max,Muncy,1B,,2021-05-28,,LAD,SF,2,,-1.5,7.5,4.4,5100,5.0,9.6,15.0,9.4,1.84
Marcus,Semien,2B,,2021-05-28,,TOR,CLE,1,,-1.5,7.5,4.2,5300,2.0,7.4,11.0,9.4,1.77
Mitch,Haniger,OF,,2021-05-28,,SEA,TEX,2,,-1.5,8.5,4.4,4900,4.0,9.4,15.0,9.4,1.92
Xander,Bogaerts,SS,,2021-05-28,,BOS,MIA,4,,-1.5,8.5,4.7,5300,3.0,11.6,17.0,9.4,1.77
Tommy,Edman,2B,,2021-05-28,,STL,ARI,1,,+1.5,9.5,4.5,4800,3.0,7.4,14.0,9.3,1.94
Jon,Berti,2B,,2021-05-28,,MIA,BOS,1,,+1.5,8.5,3.8,3900,0.0,7.8,16.0,9.2,2.36
Manny,Machado,3B,,2021-05-28,,SD,HOU,2,,+1.5,7,3.5,5600,0.0,5.4,17.0,9.0,1.61
Alex,Verdugo,OF,,2021-05-28,,BOS,MIA,2,,-1.5,8.5,4.7,3600,0.0,5.4,13.0,9.0,2.50
Dylan,Carlson,OF,,2021-05-28,,STL,ARI,2,,+1.5,9.5,4.5,3000,0.0,3.0,8.0,8.9,2.97
Kyle,Seager,3B,,2021-05-28,,SEA,TEX,3,,-1.5,8.5,4.4,4400,0.0,2.6,5.0,8.9,2.02
Josh,Donaldson,3B,,2021-05-28,,MIN,KC,2,,-1.5,8.5,4.9,4000,2.0,5.6,9.0,8.9,2.23
DJ,LeMahieu,2B,,2021-05-28,,NYY,DET,1,,-1.5,7,4.3,4900,0.0,2.6,7.0,8.8,1.80
Rougned,Odor,2B,,2021-05-28,,NYY,DET,6,,-1.5,7,4.3,3600,0.0,3.2,10.0,8.8,2.44
Teoscar,Hernandez,OF,,2021-05-28,,TOR,CLE,4,,-1.5,7.5,4.2,4600,0.0,9.8,17.0,8.7,1.89
Garrett,Cooper,1B,,2021-05-28,,MIA,BOS,4,,+1.5,8.5,3.8,3700,5.0,10.8,20.0,8.7,2.35
Kyle,Lewis,OF,,2021-05-28,,SEA,TEX,4,,-1.5,8.5,4.4,3400,0.0,6.8,13.0,8.6,2.53
Mitch,Garver,C,,2021-05-28,,MIN,KC,4,,-1.5,8.5,4.9,4300,7.0,11.8,20.0,8.6,2.00
Mark,Canha,OF,,2021-05-28,,OAK,LAA,1,,-1.5,7.5,4.1,5100,3.0,12.0,25.0,8.5,1.67
Justin,Turner,3B,,2021-05-28,,LAD,SF,3,,-1.5,7.5,4.4,4500,0.0,5.8,14.0,8.5,1.89
Jesus,Aguilar,1B,,2021-05-28,,MIA,BOS,3,,+1.5,8.5,3.8,4700,0.0,6.4,17.0,8.4,1.79
Josh,Rojas,2B,,2021-05-28,,ARI,STL,1,,-1.5,9.5,5,3600,2.0,10.2,20.0,8.4,2.33
Adalberto,Mondesi,SS,,2021-05-28,,KC,MIN,5,,+1.5,8.5,3.6,2800,0.0,12.0,21.0,8.3,2.96
Eduardo,Escobar,3B,,2021-05-28,,ARI,STL,3,,-1.5,9.5,5,4700,0.0,6.4,16.0,8.3,1.77
Jarred,Kelenic,OF,,2021-05-28,,SEA,TEX,1,,-1.5,8.5,4.4,3700,0.0,4.2,11.0,8.3,2.24
Carlos,Santana,1B,,2021-05-28,,KC,MIN,2,,+1.5,8.5,3.6,4100,0.0,5.6,12.0,8.2,2.00
Tommy,Pham,OF,,2021-05-28,,SD,HOU,1,,+1.5,7,3.5,3500,9.0,12.2,15.0,8.2,2.34
David,Peralta,OF,,2021-05-28,,ARI,STL,4,,-1.5,9.5,5,4000,0.0,7.6,15.0,8.2,2.05
Whit,Merrifield,2B,,2021-05-28,,KC,MIN,1,,+1.5,8.5,3.6,4800,0.0,6.0,12.0,8.2,1.71
Danny,Santana,1B,,2021-05-28,,BOS,MIA,6,,-1.5,8.5,4.7,2800,2.0,7.2,14.0,8.2,2.93
Randal,Grichuk,OF,,2021-05-28,,TOR,CLE,5,,-1.5,7.5,4.2,4200,3.0,6.6,12.0,8.1,1.93
Anthony,Rendon,3B,,2021-05-28,,LAA,OAK,3,,+1.5,7.5,3.4,4300,0.0,3.2,12.0,8.1,1.88
Alex,Bregman,3B,,2021-05-28,,HOU,SD,4,,-1.5,7,3.6,5000,2.0,5.0,10.0,8.1,1.62
Gio,Urshela,3B,,2021-05-28,,NYY,DET,4,,-1.5,7,4.3,4400,3.0,5.0,10.0,8.1,1.84
Yadier,Molina,C,,2021-05-28,,STL,ARI,5,,+1.5,9.5,4.5,3900,4.0,8.6,18.0,8.0,2.05
Wil,Myers,OF,,2021-05-28,,SD,HOU,6,,+1.5,7,3.5,2700,0.0,2.2,4.0,8.0,2.96
Miguel,Sano,1B,,2021-05-28,,MIN,KC,6,,-1.5,8.5,4.9,4200,0.0,5.4,11.0,8.0,1.90
Andrew,Benintendi,OF,,2021-05-28,,KC,MIN,3,,+1.5,8.5,3.6,3400,0.0,7.6,21.0,8.0,2.35
Alex,Kirilloff,1B,,2021-05-28,,MIN,KC,5,,-1.5,8.5,4.9,4100,2.0,7.4,18.0,7.8,1.90
Gavin,Lux,SS,,2021-05-28,,LAD,SF,5,,-1.5,7.5,4.4,4200,0.0,6.8,16.0,7.7,1.83
Mitch,Moreland,1B,,2021-05-28,,OAK,LAA,6,,-1.5,7.5,4.1,3000,3.0,7.6,13.0,7.7,2.57
Starling,Marte,OF,,2021-05-28,,MIA,BOS,2,,+1.5,8.5,3.8,4600,3.0,10.0,18.0,7.7,1.67
Carson,Kelly,C,,2021-05-28,,ARI,STL,2,,-1.5,9.5,5,4400,0.0,5.8,19.0,7.6,1.73
Matt,Olson,1B,,2021-05-28,,OAK,LAA,3,,-1.5,7.5,4.1,4600,0.0,9.0,14.0,7.6,1.65
Kyle,Tucker,OF,,2021-05-28,,HOU,SD,3,,-1.5,7,3.6,3800,4.0,9.8,13.0,7.6,2.00
Adolis,Garcia,OF,,2021-05-28,,TEX,SEA,4,,+1.5,8.5,4.1,3500,2.0,7.4,14.0,7.5,2.14
Justin,Upton,OF,,2021-05-28,,LAA,OAK,1,,+1.5,7.5,3.4,3300,0.0,7.8,14.0,7.5,2.27
Chris,Taylor,OF,,2021-05-28,,LAD,SF,6,,-1.5,7.5,4.4,4300,0.0,4.6,14.0,7.5,1.74
Jorge,Polanco,2B,,2021-05-28,,MIN,KC,7,,-1.5,8.5,4.9,5200,0.0,2.6,7.0,7.5,1.44
Christian,Vazquez,C,,2021-05-28,,BOS,MIA,7,,-1.5,8.5,4.7,4100,0.0,7.6,24.0,7.5,1.83
Gleyber,Torres,SS,,2021-05-28,,NYY,DET,5,,-1.5,7,4.3,4600,0.0,10.2,26.0,7.5,1.63
Pavin,Smith,1B,,2021-05-28,,ARI,STL,5,,-1.5,9.5,5,3300,5.0,10.0,22.0,7.5,2.27
Ty,France,1B,,2021-05-28,,SEA,TEX,5,,-1.5,8.5,4.4,2800,0.0,5.8,8.0,7.5,2.68
Lourdes,Gurriel Jr.,OF,,2021-05-28,,TOR,CLE,6,,-1.5,7.5,4.2,3900,0.0,6.4,13.0,7.5,1.92
Nate,Lowe,1B,,2021-05-28,,TEX,SEA,3,,+1.5,8.5,4.1,3400,0.0,8.6,16.0,7.4,2.18
Mike,Yastrzemski,OF,,2021-05-28,,SF,LAD,2,,+1.5,7.5,3.1,5200,5.0,9.8,13.0,7.3,1.40
Kyle,Garlick,OF,,2021-05-28,,MIN,KC,1,,-1.5,8.5,4.9,3300,0.0,4.6,12.0,7.3,2.21
