first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Logan,Webb,P,,2021-08-22,Afternoon,SF,OAK,,YES,-1.5,8,4,8700,14.7,25.5,39.5,18.6,2.14
Frankie,Montas,P,,2021-08-22,Afternoon,OAK,SF,,YES,+1.5,8,4.1,9000,10.7,18.1,25.9,17.8,1.98
Marcus,Stroman,P,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,8100,6.3,18.2,31.5,16.6,2.05
Kyle,Gibson,P,,2021-08-22,Afternoon,PHI,SD,,YES,+1.5,9,4,7600,0.2,13.2,21.8,15.2,2.00
David,Price,P,,2021-08-22,Afternoon,LAD,NYM,,YES,-1.5,8.5,4.8,6700,3.0,9.2,16.1,12.8,1.91
Craig,Stammen,P,,2021-08-22,Afternoon,SD,PHI,,YES,-1.5,9,5,6200,0.0,0.0,0.0,10.7,1.73
Ryan,Weathers,P,,2021-08-22,Afternoon,SD,PHI,,,-1.5,9,5,6000,0.0,2.2,7.0,10.6,1.77
Trea,Turner,2B,,2021-08-22,Afternoon,LAD,NYM,1,,-1.5,8.5,4.8,5300,8.0,12.0,15.0,9.7,1.83
Starling,Marte,OF,,2021-08-22,Afternoon,OAK,SF,2,,+1.5,8,4.1,5900,5.0,12.8,25.0,9.3,1.58
Pete,Alonso,1B,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,4300,7.0,9.4,12.0,7.9,1.84
Bryce,Harper,OF,,2021-08-22,Afternoon,PHI,SD,3,,+1.5,9,4,5600,0.0,6.0,11.0,7.4,1.32
Corey,Seager,SS,,2021-08-22,Afternoon,LAD,NYM,4,,-1.5,8.5,4.8,5100,2.0,9.4,22.0,7.4,1.45
Manny,Machado,3B,,2021-08-22,Afternoon,SD,PHI,3,,-1.5,9,5,5400,0.0,6.4,10.0,7.3,1.35
Jake,Cronenworth,SS,,2021-08-22,Afternoon,SD,PHI,4,,-1.5,9,5,4000,0.0,9.6,17.0,7.3,1.83
Max,Muncy,1B,,2021-08-22,Afternoon,LAD,NYM,2,,-1.5,8.5,4.8,5800,0.0,7.2,24.0,7.2,1.24
Fernando,Tatis Jr.,OF,,2021-08-22,Afternoon,SD,PHI,2,,-1.5,9,5,6000,2.0,5.8,10.0,7.0,1.17
Rhys,Hoskins,1B,,2021-08-22,Afternoon,PHI,SD,5,,+1.5,9,4,4700,0.0,10.6,23.0,6.8,1.45
Matt,Olson,1B,,2021-08-22,Afternoon,OAK,SF,3,,+1.5,8,4.1,5400,0.0,5.0,11.0,6.6,1.22
