first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Aaron,Nola,P,,8/27/21,Turbo,PHI,ARI,,YES,-1.5,8.5,5.2,10200,3.8,20.4,46.1,20.4,2,,
Kevin,Gausman,P,,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,9900,9,21.1,28.5,17.7,1.79,,
Wade,Miley,P,,8/27/21,Turbo,CIN,MIA,,YES,-1.5,8,4.3,9200,4.5,15.7,32.8,17.2,1.87,,
Shane,McClanahan,P,,8/27/21,Turbo,TB,BAL,,YES,-1.5,10,6,10700,0,0,0,16.7,1.56,,
Eduardo,Rodriguez,P,,8/27/21,Turbo,BOS,CLE,,,-1.5,10,5.8,9400,-2.2,16,31.7,16.4,1.74,,
Max,Fried,P,,8/27/21,Turbo,ATL,SF,,YES,-1.5,8.5,4.5,8700,8,26.3,34.9,16.4,1.89,,
J.A.,Happ,P,,8/27/21,Turbo,STL,PIT,,YES,-1.5,8.5,4.8,8000,-15.7,11.3,23.7,16.3,2.04,,
Steven,Matz,P,,8/27/21,Turbo,TOR,DET,,YES,-1.5,9.5,5.3,8200,-3,13.3,29.3,16.1,1.96,,
Rich,Hill,P,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,6800,3.1,7,14.9,15.4,2.26,,
Zach,Thompson,P,,8/27/21,Turbo,MIA,CIN,,YES,1.5,8,3.7,7500,0,0,0,12.5,1.67,,
Paolo,Espino,P,,8/27/21,Turbo,WAS,NYM,,YES,1.5,9,3.8,6400,-1,9.3,22.5,12.2,1.91,,
Taylor,Widener,P,,8/27/21,Turbo,ARI,PHI,,YES,1.5,8.5,3.3,7300,-2.8,12.4,22.7,11.9,1.63,,
Nelson,Cruz,1B,,8/27/21,Turbo,TB,BAL,2,,-1.5,10,6,5300,2,7.8,18,11.7,2.21,,
Bryce,Harper,OF,,8/27/21,Turbo,PHI,ARI,3,,-1.5,8.5,5.2,6400,3,11,24,11.6,1.81,,
Vladimir,Guerrero Jr.,1B,,8/27/21,Turbo,TOR,DET,3,,-1.5,9.5,5.3,5800,3,6.8,12,11.4,1.97,,
Brandon,Lowe,2B,,8/27/21,Turbo,TB,BAL,1,,-1.5,10,6,5400,0,7.6,22,11.4,2.11,,
Bo,Bichette,SS,,8/27/21,Turbo,TOR,DET,1,,-1.5,9.5,5.3,4700,0,7,16,10.5,2.23,,
Pete,Alonso,1B,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,5200,3,7.8,12,10.3,1.98,,
Xander,Bogaerts,SS,,8/27/21,Turbo,BOS,CLE,,,-1.5,10,5.8,5700,0,5.8,12,10.2,1.79,,
Marcus,Semien,2B,,8/27/21,Turbo,TOR,DET,2,,-1.5,9.5,5.3,5000,0,7.2,21,10.2,2.04,,
Teoscar,Hernandez,OF,,8/27/21,Turbo,TOR,DET,4,,-1.5,9.5,5.3,4800,0,3.6,10,10.1,2.1,,
Rafael,Devers,3B,,8/27/21,Turbo,BOS,CLE,,,-1.5,10,5.8,5900,0,7.8,19,9.9,1.68,,
Austin,Meadows,OF,,8/27/21,Turbo,TB,BAL,4,,-1.5,10,6,4700,0,6,20,9.8,2.09,,
Logan,Allen,P,,8/27/21,Turbo,CLE,BOS,,,1.5,10,4.2,4700,0,0,0,9.8,2.09,,
Jose,Ramirez,3B,,8/27/21,Turbo,CLE,BOS,,,1.5,10,4.2,5700,0,13.2,33,9.6,1.68,,
Dillon,Peters,P,,8/27/21,Turbo,PIT,STL,,YES,1.5,8.5,3.7,6200,8.7,10.8,12.9,9.6,1.55,,
Juan,Soto,OF,,8/27/21,Turbo,WAS,NYM,3,,1.5,9,3.8,5800,0,7.6,15,9.2,1.59,,
Tyler,O'Neill,OF,DTD,8/27/21,Turbo,STL,PIT,3,,-1.5,8.5,4.8,4200,0,4.4,15,9.2,2.19,,
Wander,Franco,SS,,8/27/21,Turbo,TB,BAL,3,,-1.5,10,6,5300,5,15.2,24,9.2,1.74,,
Nolan,Arenado,3B,,8/27/21,Turbo,STL,PIT,4,,-1.5,8.5,4.8,5800,0,5.2,12,9.2,1.59,,
Jean,Segura,2B,,8/27/21,Turbo,PHI,ARI,2,,-1.5,8.5,5.2,5200,0,5.6,12,9.2,1.77,,
Mike,Zunino,C,,8/27/21,Turbo,TB,BAL,9,,-1.5,10,6,4700,0,7.2,17,9.1,1.94,,
Paul,Goldschmidt,1B,,8/27/21,Turbo,STL,PIT,2,,-1.5,8.5,4.8,6000,0,11.6,23,9.1,1.52,,
Nick,Castellanos,OF,,8/27/21,Turbo,CIN,MIA,3,,-1.5,8,4.3,4200,3,8.2,16,8.8,2.1,,
Brad,Miller,1B,,8/27/21,Turbo,PHI,ARI,5,,-1.5,8.5,5.2,3500,0,3.8,10,8.7,2.49,,
Javier,Baez,SS,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,4900,0,8.4,24,8.7,1.78,,
Eric,Haase,C,,8/27/21,Turbo,DET,TOR,5,,1.5,9.5,4.2,4600,0,5,10,8.7,1.89,,
Dylan,Carlson,OF,,8/27/21,Turbo,STL,PIT,6,,-1.5,8.5,4.8,3600,0,5.8,12,8.6,2.39,,
Jonathan,India,2B,,8/27/21,Turbo,CIN,MIA,1,,-1.5,8,4.3,4000,0,5.4,16,8.5,2.13,,
Yandy,Diaz,1B,,8/27/21,Turbo,TB,BAL,5,,-1.5,10,6,4600,0,6,10,8.4,1.83,,
Lourdes,Gurriel Jr.,1B,,8/27/21,Turbo,TOR,DET,6,,-1.5,9.5,5.3,4300,0,5.4,11,8.3,1.93,,
Robbie,Grossman,OF,,8/27/21,Turbo,DET,TOR,1,,1.5,9.5,4.2,3600,3,6.6,12,8.3,2.31,,
Ryan,Mountcastle,1B,,8/27/21,Turbo,BAL,TB,2,,1.5,10,4,3700,2,9.2,21,8.3,2.24,,
Jonathan,Schoop,1B,,8/27/21,Turbo,DET,TOR,2,,1.5,9.5,4.2,4600,0,6.6,23,8.3,1.8,,
Didi,Gregorius,SS,,8/27/21,Turbo,PHI,ARI,4,,-1.5,8.5,5.2,3900,0,4.4,10,8.2,2.1,,
Manuel,Margot,OF,,8/27/21,Turbo,TB,BAL,7,,-1.5,10,6,2900,0,12,22,8.2,2.83,,
