first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,hand,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Zac,Gallen,P,,2023-05-30,,ARI,COL,,YES,R,-1.5,8.5,5.2,10700,-6.0,13.7,28.2,20.5,1.92
Shane,McClanahan,P,,2023-05-30,,TB,CHC,,YES,L,-1.5,8.5,4.9,11400,1.6,22.5,29.4,19.2,1.68
Kodai,Senga,P,,2023-05-30,,NYM,PHI,,YES,R,-1.5,8.5,4.5,9700,9.9,18.0,31.9,18.5,1.91
Joe,Ryan,P,,2023-05-30,,MIN,HOU,,YES,R,-1.5,8.5,4.3,11100,12.7,22.4,34.5,18.5,1.67
Logan,Gilbert,P,,2023-05-30,,SEA,NYY,,YES,R,-1.5,7,3.7,10200,9.5,22.8,28.5,18.2,1.78
Nestor,Cortes,P,,2023-05-30,,NYY,SEA,,YES,L,+1.5,7,3.3,8600,-2.2,9.1,21.9,18.1,2.10
Lucas,Giolito,P,,2023-05-30,,CWS,LAA,,YES,R,-1.5,9,4.8,9200,-0.6,16.8,27.3,17.3,1.88
Bryce,Elder,P,,2023-05-30,,ATL,OAK,,YES,R,-1.5,8.5,5.1,9300,9.7,17.5,30.0,16.7,1.80
Tony,Gonsolin,P,,2023-05-30,,LAD,WAS,,YES,R,-1.5,9,5.7,8000,5.3,16.8,25.5,16.2,2.03
Yusei,Kikuchi,P,,2023-05-30,,TOR,MIL,,YES,L,-1.5,9,4.9,8400,-2.2,7.6,20.1,14.9,1.77
Brayan,Bello,P,,2023-05-30,,BOS,CIN,,YES,R,-1.5,10,5.6,7000,17.1,19.2,22.5,13.9,1.99
Brandon,Bielak,P,,2023-05-30,,HOU,MIN,,YES,R,+1.5,8.5,4.3,6800,-1.8,11.9,26.5,13.4,1.97
Miles,Mikolas,P,,2023-05-30,,STL,KC,,YES,R,-1.5,9,5.1,7700,10.2,15.4,26.8,13.0,1.69
Kyle,Gibson,P,,2023-05-30,,BAL,CLE,,YES,R,-1.5,9,4.8,7500,-4.1,12.3,23.6,12.9,1.72
Johan,Oviedo,P,,2023-05-30,,PIT,SF,,YES,R,+1.5,8.5,3.9,6400,-13.9,6.2,26.5,12.8,2.00
Cal,Quantrill,P,,2023-05-30,,CLE,BAL,,YES,R,+1.5,9,4.2,6200,-3.2,10.8,25.4,12.4,2.00
Ranger,Suarez,P,,2023-05-30,,PHI,NYM,,YES,L,+1.5,8.5,4,5200,-0.3,7.3,20.9,11.7,2.25
Tyler,Anderson,P,,2023-05-30,,LAA,CWS,,YES,L,+1.5,9,4.2,5700,4.1,12.1,21.2,11.4,2.00
JP,Sears,P,,2023-05-30,,OAK,ATL,,YES,L,+1.5,8.5,3.4,7300,5.9,13.9,19.9,11.2,1.53
Kyle,Hendricks,P,,2023-05-30,,CHC,TB,,YES,R,+1.5,8.5,3.6,6600,3.8,14.5,28.4,10.7,1.62
Ben,Lively,P,,2023-05-30,,CIN,BOS,,YES,R,+1.5,10,4.4,7100,4.1,15.4,25.3,10.7,1.51
Ronald,Acuna Jr.,OF,,2023-05-30,,ATL,OAK,1,,R,-1.5,8.5,5.1,6400,0.0,9.6,27.0,10.6,1.66
Freddie,Freeman,1B,,2023-05-30,,LAD,WAS,2,,L,-1.5,9,5.7,5300,5.0,10.8,16.0,10.3,1.94
Mike,Trout,OF,,2023-05-30,,LAA,CWS,2,,R,+1.5,9,4.2,6000,2.0,9.6,16.0,10.2,1.70
Josh,Lowe,OF,,2023-05-30,,TB,CHC,6,,L,-1.5,8.5,4.9,4900,0.0,7.4,20.0,10.1,2.06
Jose,Ramirez,3B,,2023-05-30,,CLE,BAL,3,,S,+1.5,9,4.2,5200,0.0,5.6,12.0,9.9,1.90
Aaron,Judge,OF,,2023-05-30,,NYY,SEA,2,,R,+1.5,7,3.3,6300,4.0,14.8,39.0,9.8,1.56
Wander,Franco,SS,,2023-05-30,,TB,CHC,2,,S,-1.5,8.5,4.9,5100,8.0,15.4,26.0,9.8,1.92
Mookie,Betts,2B,,2023-05-30,,LAD,WAS,1,,R,-1.5,9,5.7,5500,0.0,8.4,17.0,9.7,1.76
Bo,Bichette,SS,,2023-05-30,,TOR,MIL,2,,R,-1.5,9,4.9,5200,6.0,15.6,31.0,9.7,1.87
Kyle,Freeland,P,,2023-05-30,,COL,ARI,,YES,L,+1.5,8.5,3.3,6500,-10.9,13.3,30.5,9.6,1.48
Shohei,Ohtani,1B,,2023-05-30,,LAA,CWS,3,,L,+1.5,9,4.2,6200,0.0,9.4,26.1,9.5,1.53
Matt,McLain,SS,,2023-05-30,,CIN,BOS,2,,R,+1.5,10,4.4,4100,5.0,14.8,23.0,9.5,2.32
Ketel,Marte,2B,,2023-05-30,,ARI,COL,1,,S,-1.5,8.5,5.2,4900,3.0,9.6,14.0,9.4,1.92
