"Name","Fpts","Position","Team","Postponement","Salary","Value"
"Joe Musgrove","18.83","UTIL","SD","0","10,800","1.74"
"Lance McCullers Jr.","18.11","P","HOU","0","9,900","1.83"
"Charlie Morton","18.10","P","ATL","0","7,600","2.38"
"Dustin May","17.87","P","LAD","0","9,400","1.90"
"Carlos Rodon","16.54","P","CWS","0","8,900","1.86"
"Zach Plesac","16.51","P","CLE","0","9,700","1.70"
"Tyler Mahle","16.41","UTIL","CIN","0","10,000","1.64"
"Zack Wheeler","15.79","P","PHI","0","8,400","1.88"
"Jon Gray","13.69","P","COL","0","7,200","1.90"
"Johnny Cueto","13.66","UTIL","SF","0","10,400","1.31"
"Josh Fleming","13.37","P","TB","0","8,200","1.63"
"David Peterson","13.01","P","NYM","0","7,100","1.83"
"Tyler Anderson","12.65","UTIL","PIT","0","9,400","1.35"
"Ronald Acuna Jr.","11.77","OF","ATL","0","6,100","1.93"
"Freddie Freeman","11.00","1B","ATL","0","5,400","2.04"
"Kohei Arihara","10.32","P","TEX","0","6,500","1.59"
"Manny Machado","10.24","UTIL","SD","0","10,200","1.00"
"Mookie Betts","10.19","OF","LAD","0","5,700","1.79"
"Randy Arozarena","9.92","OF","TB","0","5,300","1.87"
"Austin Meadows","9.80","OF","TB","0","4,800","2.04"
"Corey Seager","9.64","SS","LAD","0","5,500","1.75"
"Michael Fulmer","9.55","P","DET","0","5,900","1.62"
"Marcell Ozuna","9.54","OF","ATL","0","4,200","2.27"
"Kyle Tucker","9.46","OF","HOU","0","4,300","2.20"
"Jesse Winker","9.16","UTIL","CIN","0","8,800","1.04"
"Nick Neidert","9.14","P","MIA","0","6,200","1.47"
"Brandon Lowe","9.10","2B/OF","TB","0","4,600","1.98"
"Michael Brantley","9.02","OF","HOU","0","4,600","1.96"
"Ozzie Albies","9.00","2B","ATL","0","4,700","1.92"
"Trent Grisham","8.86","UTIL","SD","0","9,200","0.96"
"Nick Castellanos","8.73","UTIL","CIN","0","10,600","0.82"
"Jose Ramirez","8.70","3B","CLE","0","5,700","1.53"
"Mike Yastrzemski","8.70","UTIL","SF","0","9,400","0.93"
"Rhys Hoskins","8.69","1B","PHI","0","4,800","1.81"
"Mike Moustakas","8.56","UTIL","CIN","0","10,200","0.84"
"J.T. Realmuto","8.55","C","PHI","0","5,100","1.68"
"Eugenio Suarez","8.51","UTIL","CIN","0","9,600","0.89"
"Justin Turner","8.39","3B","LAD","0","5,200","1.61"
"Max Muncy","8.37","1B","LAD","0","5,200","1.61"
"Tommy Pham","8.32","UTIL","SD","0","6,600","1.26"
"Bryce Harper","8.30","OF","PHI","0","5,400","1.54"
"Dominic Smith","8.25","OF","NYM","0","4,200","1.96"
"Andrew McCutchen","8.22","OF","PHI","0","3,700","2.22"
"Aledmys Diaz","8.17","3B/OF","HOU","0","4,300","1.90"
"Travis d'Arnaud","8.14","C","ATL","0","4,500","1.81"
"Francisco Lindor","8.11","SS","NYM","0","4,500","1.80"
"Eric Hosmer","8.05","UTIL","SD","0","10,600","0.76"
"Yuli Gurriel","8.02","1B","HOU","0","4,100","1.96"
"Alex Dickerson","7.98","UTIL","SF","0","5,400","1.48"
"Luis Robert","7.95","OF","CWS","0","5,200","1.53"
"Alec Bohm","7.95","3B","PHI","0","4,000","1.99"
"Jose Abreu","7.93","1B","CWS","0","5,700","1.39"
"Starling Marte","7.92","OF","MIA","0","5,500","1.44"
"Jurickson Profar","7.86","UTIL","SD","0","6,800","1.16"
"Brandon Nimmo","7.80","OF","NYM","0","3,200","2.44"
"Carlos Correa","7.79","SS","HOU","0","5,000","1.56"
"Manuel Margot","7.68","OF","TB","0","3,600","2.13"
"Franmil Reyes","7.63","OF","CLE","0","4,700","1.62"
"Dansby Swanson","7.62","SS","ATL","0","4,100","1.86"
"Joey Wendle","7.62","3B/SS","TB","0","4,900","1.56"
"Corey Dickerson","7.57","OF","MIA","0","3,100","2.44"
"Joey Votto","7.55","UTIL","CIN","0","8,000","0.94"
"Pete Alonso","7.54","1B","NYM","0","5,000","1.51"
"Ha-seong Kim","7.53","UTIL","SD","0","6,200","1.21"
"Trevor Story","7.49","SS","COL","0","5,300","1.41"
"Adam Eaton","7.46","OF","CWS","0","4,100","1.82"
"Jeff McNeil","7.44","2B","NYM","0","3,300","2.26"
"Gavin Lux","7.41","2B","LAD","0","3,900","1.90"
"Jake Cronenworth","7.38","UTIL","SD","0","8,800","0.84"
"Adam Duvall","7.37","OF","MIA","0","3,400","2.17"
"Tyler Naquin","7.35","UTIL","CIN","0","9,000","0.82"
"Michael Conforto","7.35","OF","NYM","0","3,300","2.23"
"Myles Straw","7.30","OF","HOU","0","2,800","2.61"
"Isiah Kiner-Falefa","7.26","SS","TEX","0","4,200","1.73"
"Joey Gallo","7.17","OF","TEX","0","3,700","1.94"
"Yoan Moncada","7.16","3B","CWS","0","4,700","1.52"
"Robbie Grossman","7.16","OF","DET","0","3,000","2.39"
"Austin Riley","7.15","3B","ATL","0","3,600","1.99"
"Yandy Diaz","7.12","1B/3B","TB","0","3,500","2.03"
"Jean Segura","7.09","2B","PHI","0","3,700","1.92"
"Matt Beaty","7.08","1B/OF","LAD","0","2,500","2.83"
"Tommy La Stella","7.00","UTIL","SF","0","7,400","0.95"
"Jeimer Candelario","6.98","3B","DET","0","3,300","2.12"
"Yoshi Tsutsugo","6.98","1B","TB","0","3,800","1.84"
"Jordan Luplow","6.87","OF","CLE","0","3,700","1.86"
"Renato Nunez","6.81","1B","DET","0","3,400","2.00"
"Austin Slater","6.81","UTIL","SF","0","7,000","0.97"
"Nick Solak","6.79","2B","TEX","0","3,500","1.94"
"Wilson Ramos","6.78","C","DET","0","3,300","2.05"
"Zach McKinstry","6.77","OF","LAD","0","3,000","2.26"
"Nate Lowe","6.75","1B","TEX","0","4,000","1.69"
"David Dahl","6.74","OF","TEX","0","3,000","2.25"
"Yermin Mercedes","6.73","C","CWS","0","4,800","1.40"
"Eddie Rosario","6.72","OF","CLE","0","4,500","1.49"
"Donovan Solano","6.72","UTIL","SF","0","7,600","0.88"
"Willy Adames","6.68","SS","TB","0","4,300","1.55"
"Brandon Belt","6.67","UTIL","SF","0","6,800","0.98"
"Phillip Evans","6.64","UTIL","PIT","0","8,000","0.83"
"Roman Quinn","6.62","OF","PHI","0","2,200","3.01"
"Charlie Blackmon","6.60","OF","COL","0","5,100","1.29"
"Colin Moran","6.60","UTIL","PIT","0","7,200","0.92"
"Victor Caratini","6.59","UTIL","SD","0","8,600","0.77"
"Amed Rosario","6.57","SS/OF","CLE","0","3,400","1.93"
"Nomar Mazara","6.57","OF","DET","0","2,100","3.13"
"Brian Anderson","6.57","3B","MIA","0","3,700","1.77"
"Bryan Reynolds","6.56","UTIL","PIT","0","6,400","1.03"
"Jesus Aguilar","6.55","1B","MIA","0","3,200","2.05"
"Adam Frazier","6.55","UTIL","PIT","0","7,800","0.84"
"Brandon Crawford","6.50","UTIL","SF","0","6,000","1.08"
