P,P,C,1B,2B,3B,SS,OF,OF,OF
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Jesus Aguilar (28082259),Harold Castro (28082210),Ryan McMahon (28082083),Ezequiel Tovar (28082159),Jurickson Profar (28082119),Brenton Doyle (28082149),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Martin Maldonado (28082300),Jose Abreu (28082207),Jose Altuve (28082066),Alex Bregman (28082088),Zach Neto (28082298),Bryan De La Cruz (28082137),Matt Vierling (28082270),Corey Julks (28082277)
Spencer Strider (28082027),Gerrit Cole (28082028),Martin Maldonado (28082300),Jose Abreu (28082207),Jose Altuve (28082066),Jean Segura (28082168),Zach Neto (28082298),Kyle Tucker (28082060),Matt Vierling (28082270),Corey Julks (28082277)
Spencer Strider (28082027),Gerrit Cole (28082028),Martin Maldonado (28082300),Justin Turner (28082150),Jose Altuve (28082066),Alex Bregman (28082088),Zach Neto (28082298),Chas McCormick (28082169),Matt Vierling (28082270),Corey Julks (28082277)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Jesus Aguilar (28082259),Jonathan Schoop (28082322),Jon Berti (28082097),Joey Wendle (28082238),Jorge Soler (28082064),Bryan De La Cruz (28082137),Peyton Burdick (28082230)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Justin Turner (28082150),Jonathan Schoop (28082322),Jean Segura (28082168),Joey Wendle (28082238),Jorge Soler (28082064),Bryan De La Cruz (28082137),Peyton Burdick (28082230)
Spencer Strider (28082027),Gerrit Cole (28082028),Connor Wong (28082226),Jared Walsh (28082281),Jonathan Schoop (28082322),Jon Berti (28082097),Joey Wendle (28082238),Jorge Soler (28082064),Bryan De La Cruz (28082137),Peyton Burdick (28082230)
Spencer Strider (28082027),Gerrit Cole (28082028),Cal Raleigh (28082100),Jesus Aguilar (28082259),Jose Caballero (28082251),Jon Berti (28082097),J.P. Crawford (28082146),Teoscar Hernandez (28082127),Matt Vierling (28082270),Taylor Trammell (28082296)
Spencer Strider (28082027),Gerrit Cole (28082028),Cal Raleigh (28082100),Ty France (28082111),Jose Caballero (28082251),Jean Segura (28082168),J.P. Crawford (28082146),Esteury Ruiz (28082153),Matt Vierling (28082270),Taylor Trammell (28082296)
Spencer Strider (28082027),Gerrit Cole (28082028),Cal Raleigh (28082100),Justin Turner (28082150),Jose Caballero (28082251),Jean Segura (28082168),J.P. Crawford (28082146),Teoscar Hernandez (28082127),Matt Vierling (28082270),Taylor Trammell (28082296)
Spencer Strider (28082027),Gerrit Cole (28082028),Kyle Higashioka (28082289),Anthony Rizzo (28082084),Jonathan Schoop (28082322),Oswaldo Cabrera (28082309),Anthony Volpe (28082126),Harrison Bader (28082134),Bryan De La Cruz (28082137),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Kyle Higashioka (28082289),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Oswaldo Cabrera (28082309),Anthony Volpe (28082126),Aaron Judge (28082050),Harrison Bader (28082134),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Connor Wong (28082226),Justin Turner (28082150),Enmanuel Valdez (28082189),Jean Segura (28082168),Kike Hernandez (28082145),Jarren Duran (28082123),Esteury Ruiz (28082153),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Connor Wong (28082226),Triston Casas (28082233),Enmanuel Valdez (28082189),Rafael Devers (28082056),Zach Neto (28082298),Jarren Duran (28082123),Esteury Ruiz (28082153),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Connor Wong (28082226),Justin Turner (28082150),Enmanuel Valdez (28082189),Jean Segura (28082168),Zach Neto (28082298),Alex Verdugo (28082080),Jarren Duran (28082123),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Connor Wong (28082226),Triston Casas (28082233),Jonathan Schoop (28082322),Jean Segura (28082168),Kike Hernandez (28082145),Masataka Yoshida (28082063),Jarren Duran (28082123),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jon Berti (28082097),Javier Baez (28082109),Bryan De La Cruz (28082137),Esteury Ruiz (28082153),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jean Segura (28082168),Javier Baez (28082109),Jorge Soler (28082064),Ramon Laureano (28082188),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jon Berti (28082097),Javier Baez (28082109),Jorge Soler (28082064),Matt Vierling (28082270),Joey Wiemer (28082317)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jace Peterson (28082245),Javier Baez (28082109),Jorge Soler (28082064),Bryan De La Cruz (28082137),Matt Vierling (28082270)
