P,P,C,1B,2B,3B,SS,OF,OF,OF
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jon Berti (28082097),Javier Baez (28082109),Bryan De La Cruz (28082137),Esteury Ruiz (28082153),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Julio Rodriguez (28082735),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jon Berti (28082097),Javier Baez (28082109),Riley Greene (28082094),Esteury Ruiz (28082153),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jean Segura (28082168),Javier Baez (28082109),Jorge Soler (28082064),Ramon Laureano (28082188),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jon Berti (28082097),Javier Baez (28082109),Jorge Soler (28082064),Matt Vierling (28082270),Joey Wiemer (28082317)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jace Peterson (28082245),Javier Baez (28082109),Jorge Soler (28082064),Bryan De La Cruz (28082137),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Andy Ibanez (28082200),Jon Berti (28082097),Javier Baez (28082109),Bryan De La Cruz (28082137),Ramon Laureano (28082188),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jean Segura (28082168),Javier Baez (28082109),Alex Verdugo (28082080),Bryan De La Cruz (28082137),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Miguel Cabrera (28082333),Jonathan Schoop (28082322),Jean Segura (28082168),Javier Baez (28082109),Jorge Soler (28082064),Bryan De La Cruz (28082137),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Rafael Devers (28082056),Javier Baez (28082109),Bryan De La Cruz (28082137),Peyton Burdick (28082230),Matt Vierling (28082270)
Spencer Strider (28082027),Kodai Senga (28082031),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jon Berti (28082097),Javier Baez (28082109),Jorge Soler (28082064),Bryan De La Cruz (28082137),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Miguel Cabrera (28082333),Jonathan Schoop (28082322),Jon Berti (28082097),Javier Baez (28082109),Jorge Soler (28082064),Ramon Laureano (28082188),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Julio Rodriguez (28082735),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jean Segura (28082168),Javier Baez (28082109),Riley Greene (28082094),Bryan De La Cruz (28082137),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Andy Ibanez (28082200),Aledmys Diaz (28082302),Javier Baez (28082109),Jorge Soler (28082064),Bryan De La Cruz (28082137),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Julio Rodriguez (28082735),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jace Peterson (28082245),Javier Baez (28082109),Jorge Soler (28082064),Riley Greene (28082094),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jeimer Candelario (28082179),Javier Baez (28082109),Jorge Soler (28082064),Esteury Ruiz (28082153),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Jon Berti (28082097),Javier Baez (28082109),Christian Yelich (28082102),Ramon Laureano (28082188),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Brian Anderson (28082160),Javier Baez (28082109),Jorge Soler (28082064),Mickey Moniak (28082208),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Jonathan Schoop (28082322),Rafael Devers (28082056),Javier Baez (28082109),Esteury Ruiz (28082153),Mickey Moniak (28082208),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Spencer Torkelson (28082195),Andy Ibanez (28082200),Jean Segura (28082168),Javier Baez (28082109),Bryan De La Cruz (28082137),Esteury Ruiz (28082153),Matt Vierling (28082270)
Spencer Strider (28082027),Gerrit Cole (28082028),Jake Rogers (28082264),Miguel Cabrera (28082333),Jonathan Schoop (28082322),Rafael Devers (28082056),Javier Baez (28082109),Bryan De La Cruz (28082137),Esteury Ruiz (28082153),Matt Vierling (28082270)
