P,P,C,1B,2B,3B,SS,OF,OF,OF
Gerrit Cole (28082028),Sonny Gray (28082029),Julio Rodriguez (28082735),Jose Abreu (28082207),Jose Altuve (28082066),Alex Bregman (28082088),Max Muncy (28082626),Yordan Alvarez (28082051),Matt Vierling (28082270),Corey Julks (28082277)
Spencer Strider (28082027),Gerrit Cole (28082028),Julio Rodriguez (28082735),Jose Abreu (28082207),Jose Altuve (28082066),Alex Bregman (28082088),Zach Neto (28082298),Chas McCormick (28082169),Matt Vierling (28082270),Corey Julks (28082277)
Spencer Strider (28082027),Gerrit Cole (28082028),Nick Fortes (28082203),Jose Abreu (28082207),Jose Altuve (28082066),Alex Bregman (28082088),Zach Neto (28082298),Chas McCormick (28082169),Matt Vierling (28082270),Corey Julks (28082277)
Gerrit Cole (28082028),Kodai Senga (28082031),Julio Rodriguez (28082735),Jose Abreu (28082207),Jose Altuve (28082066),Alex Bregman (28082088),Max Muncy (28082626),Yordan Alvarez (28082051),Esteury Ruiz (28082153),Corey Julks (28082277)
Gerrit Cole (28082028),Yu Darvish (28082030),Julio Rodriguez (28082735),Jose Abreu (28082207),Jose Altuve (28082066),Alex Bregman (28082088),Max Muncy (28082626),Yordan Alvarez (28082051),Matt Vierling (28082270),Corey Julks (28082277)
Spencer Strider (28082027),Gerrit Cole (28082028),Martin Maldonado (28082300),Jose Abreu (28082207),Jose Altuve (28082066),Jean Segura (28082168),Zach Neto (28082298),Kyle Tucker (28082060),Matt Vierling (28082270),Corey Julks (28082277)
Spencer Strider (28082027),Gerrit Cole (28082028),Martin Maldonado (28082300),Jose Abreu (28082207),Jose Altuve (28082066),Alex Bregman (28082088),Zach Neto (28082298),Bryan De La Cruz (28082137),Matt Vierling (28082270),Corey Julks (28082277)
Gerrit Cole (28082028),Kodai Senga (28082031),Julio Rodriguez (28082735),Jose Abreu (28082207),Jose Altuve (28082066),Alex Bregman (28082088),Max Muncy (28082626),Yordan Alvarez (28082051),Matt Vierling (28082270),Corey Julks (28082277)
Spencer Strider (28082027),Brayan Bello (28082043),Julio Rodriguez (28082735),Jose Abreu (28082207),Jose Altuve (28082066),Alex Bregman (28082088),Javier Baez (28082109),Yordan Alvarez (28082051),Esteury Ruiz (28082153),Corey Julks (28082277)
Gerrit Cole (28082028),Kodai Senga (28082031),Nick Fortes (28082203),Jose Abreu (28082207),Jose Altuve (28082066),Alex Bregman (28082088),Max Muncy (28082626),Yordan Alvarez (28082051),Matt Vierling (28082270),Corey Julks (28082277)
