P,P,C,1B,2B,3B,SS,OF,OF,OF
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Bo Bichette (18951096),George Springer (18951119),Corey Dickerson (18951267),Manuel Margot (18951339)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Bo Bichette (18951096),George Springer (18951119),AJ Pollock (18951198),Jarrod Dyson (18951416)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Christian Walker (18951352),Luis Garcia (18951273),Manny Machado (18951124),Bo Bichette (18951096),George Springer (18951119),Andrew McCutchen (18951184),Jarrod Dyson (18951416)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Christian Walker (18951352),Luis Garcia (18951273),Manny Machado (18951124),Bo Bichette (18951096),George Springer (18951119),Corey Dickerson (18951267),Sam Hilliard (18951334)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),George Springer (18951119),Teoscar Hernandez (18951125),Jarrod Dyson (18951416)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Eric Hosmer (18951303),Luis Garcia (18951273),Kevin Smith (18951395),Jake Cronenworth (18951150),Fernando Tatis Jr. (18951082),George Springer (18951119),Corey Dickerson (18951267)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Eric Hosmer (18951303),Luis Garcia (18951273),Josh VanMeter (18951421),Bo Bichette (18951096),Fernando Tatis Jr. (18951082),George Springer (18951119),Jarrod Dyson (18951416)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Brad Miller (18951202),Luis Garcia (18951273),Manny Machado (18951124),Bo Bichette (18951096),George Springer (18951119),Manuel Margot (18951339),Jarrod Dyson (18951416)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Vladimir Guerrero Jr. (18951083),Luis Garcia (18951273),Yonny Hernandez (18951323),Jake Cronenworth (18951150),George Springer (18951119),Corey Dickerson (18951267),Manuel Margot (18951339)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Brad Miller (18951202),Luis Garcia (18951273),Yonny Hernandez (18951323),Bo Bichette (18951096),George Springer (18951119),Andrew McCutchen (18951184),Corey Dickerson (18951267)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Rowdy Tellez (18951325),Luis Garcia (18951273),Manny Machado (18951124),Bo Bichette (18951096),George Springer (18951119),Wil Myers (18951217),Jarrod Dyson (18951416)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Anthony Rizzo (18951191),Luis Garcia (18951273),Manny Machado (18951124),Bo Bichette (18951096),George Springer (18951119),Sam Hilliard (18951334),Jarrod Dyson (18951416)
